songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
You Right,Doja Cat & The Weeknd,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986
Good 4 U,Olivia Rodrigo,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928
Light Switch,Charlie Puth,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009
Golden Child,Lil Durk,0.841,0.532,2,-9.307,1,0.278,0.00864,2.48e-06,0.268,0.319,79.993
Buy Dirt,Jordan Davis Featuring Luke Bryan,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945
Fancy Like,Walker Hayes,0.649,0.76,1,-6.487,1,0.0574,0.114,0,0.317,0.843,80.018
Thinking With My Dick,Kevin Gates Featuring Juicy J,0.77,0.699,0,-6.59,1,0.199,0.0596,1.65e-05,0.17,0.696,81.003
Fingers Crossed,Lauren Spencer-Smith,0.56,0.473,5,-7.23,1,0.0533,0.618,0,0.31,0.441,109.414
Bam Bam,Camila Cabello Featuring Ed Sheeran,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996
Handsomer,Russ Featuring Ktlyn,0.886,0.651,8,-6.413,1,0.222,0.188,0,0.11,0.476,81.985
Love Nwantiti (Ah Ah Ah),CKay,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005
Beers On Me,"Dierks Bentley, Breland & HARDY",0.59,0.846,4,-4.251,1,0.0396,0.182,0,0.53,0.733,146.028
Broadway Girls,Lil Durk Featuring Morgan Wallen,0.659,0.745,10,-3.599,1,0.0347,0.0417,0,0.296,0.54,74.967
Sand In My Boots,Morgan Wallen,0.403,0.537,3,-6.628,1,0.031,0.59,0,0.112,0.414,69.877
Doin' This,Luke Combs,0.593,0.552,1,-5.838,1,0.028,0.18,1.71e-05,0.11,0.39,115.0
Something In The Way,Nirvana,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218
Knife Talk,Drake Featuring 21 Savage & Project Pat,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887
Barbarian,Lil Durk,0.645,0.678,8,-8.343,1,0.409,0.0389,0,0.11,0.158,98.016
Boyfriend,Dove Cameron,0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773
To Be Loved By You,Parker McCollum,0.473,0.802,10,-4.497,1,0.037,0.00036,0,0.304,0.453,145.983
Never Say Never,Cole Swindell / Lainey Wilson,0.472,0.937,0,-4.028,0,0.0567,0.00717,0,0.11,0.454,140.073
AA,Walker Hayes,0.635,0.747,4,-6.227,1,0.0293,0.00313,0,0.346,0.753,104.027
Shootout @ My Crib,Lil Durk,0.754,0.553,10,-8.777,0,0.394,0.06,0,0.108,0.195,90.6
Numb Little Bug,Em Beihold,0.742,0.527,8,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974
Started From,Lil Durk,0.624,0.561,7,-8.757,1,0.476,0.0895,0,0.109,0.357,159.186
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,0.612,0.884,5,-4.4,1,0.0459,0.00516,0,0.0997,0.626,119.991
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",0.594,0.628,1,-6.345,1,0.359,0.12,0,0.0582,0.556,141.391
Headtaps,Lil Durk,0.562,0.609,5,-7.672,1,0.279,0.0461,0,0.131,0.38,158.803
She's All I Wanna Be,Tate McRae,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036
Smoking & Thinking,Lil Durk,0.842,0.512,11,-8.202,1,0.333,0.0169,0,0.202,0.688,162.023
23,Sam Hunt,0.641,0.78,3,-5.138,1,0.0852,0.0206,0,0.143,0.693,98.004
Slow Down Summer,Thomas Rhett,0.464,0.755,4,-5.707,1,0.0354,0.00838,0,0.0989,0.449,155.973
Peru,Fireboy DML & Ed Sheeran,0.956,0.417,7,-7.892,0,0.0926,0.572,0.00071,0.0782,0.714,108.015
The Motto,Tiesto & Ava Max,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
Grow Up/Keep It On Speaker,Lil Durk,0.512,0.633,1,-7.951,0,0.289,0.0276,2.02e-06,0.578,0.236,113.621
Do We Have A Problem?,Nicki Minaj X Lil Baby,0.842,0.505,1,-8.627,0,0.402,0.472,0.000322,0.117,0.538,119.993
Nail Tech,Jack Harlow,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
Blocklist,Lil Durk,0.621,0.572,5,-8.102,0,0.218,0.0615,0,0.089,0.208,83.694
Me Or Sum,"Nardo Wick, Lil Baby & Future",0.534,0.573,1,-6.757,1,0.414,0.00926,0,0.136,0.373,160.333
Heart On Fire,Eric Church,0.653,0.927,8,-4.699,1,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97
Dos Oruguitas,Sebastian Yatra,0.423,0.355,0,-10.565,1,0.0454,0.761,0,0.0915,0.465,93.788
Difference Is,Lil Durk Featuring Summer Walker,0.488,0.482,10,-9.127,0,0.382,0.125,0,0.0999,0.318,158.669
Circles Around This Town,Maren Morris,0.591,0.814,4,-4.986,1,0.0468,0.015,0,0.117,0.815,149.9
Freaky Deaky,Tyga X Doja Cat,0.799,0.653,2,-5.453,0,0.037,0.019,0,0.0935,0.236,104.019
If I Was A Cowboy,Miranda Lambert,0.575,0.644,6,-5.68,0,0.0309,0.271,0,0.131,0.626,80.07
Beautiful Lies,Yung Bleu & Kehlani,0.481,0.362,3,-10.766,0,0.209,0.237,0,0.114,0.639,83.605
Flower Shops,ERNEST Featuring Morgan Wallen,0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153
Sacrifice,The Weeknd,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,0.905,122.0
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03
To The Moon!,JNR CHOI & Sam Tompkins,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047
P Power,Gunna Featuring Drake,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251
Pressure,Ari Lennox,0.85,0.658,0,-5.558,1,0.221,0.139,0,0.063,0.832,144.445
Federal Nightmares,Lil Durk,0.577,0.681,11,-6.219,1,0.201,0.0138,0,0.178,0.539,83.597
Rumors,Gucci Mane Featuring Lil Durk,0.688,0.842,2,-4.211,1,0.264,0.0499,0,0.241,0.416,159.897
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,0.553,0.609,1,-6.436,1,0.0469,0.151,0,0.112,0.471,73.903
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,0.57,0.618,10,-4.966,1,0.0445,0.153,0,0.159,0.286,138.034
I Love You So,The Walters,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977
Banking On Me,Gunna,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143
Give Heaven Some Hell,HARDY,0.639,0.843,11,-4.975,1,0.0362,0.0525,0,0.0854,0.528,126.047
I'm Tired,Labrinth & Zendaya,0.375,0.133,0,-10.624,0,0.0352,0.651,0,0.0695,0.192,131.721
Bones,Imagine Dragons,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071
Rocking A Cardigan In Atlanta,Lil Shordie Scott,0.803,0.64,1,-4.721,1,0.151,0.583,0.000331,0.437,0.816,140.073
Pissed Me Off,Lil Durk,0.723,0.516,11,-10.707,0,0.485,0.00311,1.26e-06,0.115,0.223,155.967
By Your Side,Rod Wave,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975
Waiting On A Miracle,Stephanie Beatriz,0.48,0.554,1,-8.145,0,0.069,0.171,0,0.131,0.267,190.066
I Hate YoungBoy,YoungBoy Never Broke Again,0.584,0.756,10,-6.245,0,0.362,0.0266,0,0.36,0.728,165.269
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",0.474,0.801,8,-5.978,0,0.375,0.102,0,0.322,0.497,147.356
Closer,Saweetie Featuring H.E.R.,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01
Georgia On My Mind,Michael Bolton,0.508,0.173,9,-16.946,0,0.041,0.928,0.951,0.122,0.197,62.343
Insane In The Brain,Cypress Hill,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304
I Don't Like Mondays,The Boomtown Rats,0.464,0.46,11,-6.874,1,0.0393,0.717,0,0.151,0.476,143.603
Goodbye,Night Ranger,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068
Rooms On Fire,Stevie Nicks,0.615,0.921,9,-4.676,0,0.041,0.0731,0.000179,0.443,0.744,126.947
Him Or Me - What's It Gonna Be?,Paul Revere & The Raiders,0.528,0.838,3,-5.506,1,0.0265,0.292,0,0.0954,0.905,97.264
Through The Years,Kenny Rogers,0.587,0.393,0,-11.455,1,0.028,0.225,0,0.107,0.271,131.266
Chicago,Graham Nash,0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947
I Like It,DeBarge,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048
Superstar/Until You Come Back To Me,Luther Vandross,0.369,0.283,11,-12.563,1,0.0303,0.746,0.0834,0.22,0.0707,117.913
My Old Car,Lee Dorsey,0.48,0.316,4,-10.748,1,0.0261,0.726,0.00527,0.15,0.412,146.399
Jones Vs. Jones,Kool & The Gang,0.71,0.414,7,-15.574,1,0.0466,0.407,0.000143,0.0405,0.797,92.955
"Mercy, Mercy, Mercy","""Cannonball"" Adderley",0.544,0.425,10,-10.231,1,0.0346,0.719,0.0186,0.964,0.348,84.443
You're A Lady,Peter Skellern,0.359,0.345,1,-13.366,1,0.0354,0.632,0.368,0.116,0.173,86.449
Feel That You're Feelin',Maze Featuring Frankie Beverly,0.652,0.718,7,-6.873,1,0.0357,0.387,7.07e-05,0.0584,0.816,88.854
All I Have To Offer You (Is Me),Charley Pride,0.473,0.355,5,-11.759,1,0.0283,0.0963,0,0.213,0.719,102.01
Let's Get Together,We Five,0.632,0.641,1,-10.363,0,0.0766,0.732,0.00106,0.196,0.862,75.797
I Will Follow Him,Little Peggy March,0.638,0.44,0,-10.892,1,0.0348,0.722,0,0.515,0.904,125.495
Out Of Sight,James Brown,0.584,0.854,7,-5.784,1,0.0358,0.0728,6.55e-06,0.388,0.72,119.056
Apple Of My Eye,Roy Head,0.523,0.783,6,-3.755,0,0.185,0.214,0,0.612,0.313,117.264
What's Your Name,Don & Juan,0.646,0.574,7,-9.352,1,0.0285,0.602,4.19e-05,0.135,0.933,135.175
Midnight In Moscow,Kenny Ball,0.812,0.256,2,-15.875,1,0.158,0.148,6.04e-05,0.106,0.0582,134.999
Peace Will Come (According To Plan),Melanie,0.37,0.295,8,-7.307,1,0.0278,0.567,1.91e-06,0.146,0.269,132.453
Funny How Time Slips Away,Jimmy Elledge,0.529,0.0835,4,-19.48,1,0.039,0.947,6.54e-06,0.106,0.325,113.413
Spice Of Life,The Manhattan Transfer,0.763,0.702,5,-9.51,1,0.046,0.143,0,0.198,0.806,109.975
I'd Rather Leave While I'm In Love,Rita Coolidge,0.46,0.567,8,-8.677,1,0.0331,0.0737,1.26e-06,0.114,0.224,131.594
My Heroes Have Always Been Cowboys,Willie Nelson,0.255,0.417,7,-10.918,1,0.0538,0.817,0.0413,0.769,0.346,79.532
Get Off My Back Woman,B.B. King,0.702,0.526,2,-12.156,1,0.0341,0.231,1.95e-05,0.0402,0.853,102.396
Feelin  So Good,Jennifer Lopez Featuring Big Pun ,0.738,0.84,10,-7.995,0,0.0606,0.00437,0.00629,0.0807,0.862,107.755
Cheeseburger In Paradise,Jimmy Buffett,0.698,0.689,2,-12.529,1,0.0577,0.167,0.000119,0.0692,0.972,139.997
Those Lazy-Hazy-Crazy Days Of Summer,"Nat ""King"" Cole",0.416,0.726,6,-5.254,1,0.0573,0.687,0,0.27,0.895,182.219
Ask Me What You Want,Millie Jackson,0.711,0.679,4,-8.912,1,0.0674,0.326,0,0.31,0.773,116.54
Wasn't The Summer Short?,Johnny Mathis,0.258,0.283,5,-13.164,1,0.0336,0.854,0,0.165,0.223,81.545
Almost Hear You Sigh,The Rolling Stones,0.648,0.815,1,-5.391,0,0.0232,0.275,0.000193,0.076,0.759,102.259
Woodstock,"Crosby, Stills & Nash",0.752,0.638,0,-6.184,1,0.0608,0.462,4.68e-06,0.0597,0.699,134.01
As Good As I Once Was,Toby Keith,0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.646,119.075
Love (Makes the World Go 'Round),Paul Anka,0.641,0.347,0,-16.706,0,0.0413,0.564,0.00089,0.532,0.769,127.811
Save The Best For Last,Vanessa Williams,0.528,0.234,3,-15.784,1,0.0283,0.641,0,0.183,0.191,95.911
Mama Can't Buy You Love,Elton John,0.529,0.432,5,-14.245,1,0.0333,0.524,0,0.115,0.555,94.382
What About Me,Anne Murray,0.785,0.44,10,-6.566,1,0.0401,0.0263,2.03e-06,0.122,0.22,118.089
Blame It On The Radio,John Parr,0.418,0.933,1,-3.326,1,0.119,0.0889,0,0.34,0.926,187.239
I Love You Yes I Do,Bull Moose Jackson,0.482,0.193,4,-14.954,1,0.0317,0.961,9.53e-05,0.0877,0.446,84.321
Hope Of Deliverance,Paul McCartney,0.638,0.786,9,-10.915,0,0.0341,0.181,5.3e-06,0.104,0.812,159.996
Happy Ending,Joe Jackson,0.652,0.876,7,-3.323,1,0.0359,0.0307,0,0.449,0.695,126.007
Who Will You Run To,Heart,0.601,0.73,2,-11.103,1,0.0361,0.203,2e-05,0.107,0.684,116.313
Secret,O.M.D.,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021
Everlasting Love,Tony Terry,0.546,0.828,4,-4.771,1,0.0394,0.719,0.03,0.372,0.401,121.418
Remember When,Alan Jackson,0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009
I'll Just Have A Cup Of Coffee (Then I'll Go),Claude Gray,0.692,0.366,10,-16.514,1,0.0343,0.759,0.0925,0.364,0.699,112.996
Georgy Porgy,Eric Benet Featuring Faith Evans,0.799,0.783,11,-7.703,0,0.0847,0.0519,0.0213,0.127,0.918,97.207
Don't Take Your Love From Me,Gloria Lynne,0.376,0.141,8,-10.902,1,0.0365,0.895,0.000171,0.14,0.191,183.841
Drop,The Pharcyde,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064
In The Rain,The Dramatics,0.421,0.514,8,-9.52,0,0.049,0.591,8.97e-05,0.337,0.564,145.653
Marrakesh Express,"Crosby, Stills & Nash",0.392,0.762,0,-10.028,1,0.469,0.734,2.67e-05,0.357,0.631,175.204
New Orleans,Eddie Hodges,0.639,0.815,11,-4.962,0,0.252,0.232,0,0.299,0.4,159.903
Wrong,Everything But The Girl,0.745,0.728,0,-3.39,1,0.0423,0.352,0,0.228,0.39,120.099
I Don't Care,Fall Out Boy,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956
The Only Way Is Up,Yazz And The Plastic Population,0.597,0.736,1,-7.793,0,0.0309,0.00296,0.921,0.0914,0.172,128.179
Feeling Alright,Joe Cocker,0.836,0.584,7,-8.219,1,0.0793,0.0387,0,0.102,0.68,134.204
Ha Cha Cha (Funktion),Brass Construction,0.573,0.858,0,-3.148,1,0.0335,0.00154,0.396,0.176,0.69,127.354
Shining Star,The Manhattans,0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516
Not For All The Money In The World,The Shirelles,0.535,0.796,1,-9.091,0,0.0583,0.000203,0.00434,0.355,0.46,147.994
This Magic Moment,The Drifters,0.271,0.599,0,-4.63,1,0.0326,0.455,3.08e-06,0.11,0.705,136.169
Diane,The Bachelors,0.718,0.709,4,-5.568,1,0.039,0.258,0,0.101,0.54,119.974
Rock On,David Essex,0.676,0.292,11,-14.448,1,0.34,0.723,0.00189,0.433,0.649,74.798
The Boy With The Beatle Hair,Swans,0.619,0.811,0,-7.376,1,0.0326,0.687,0.00219,0.362,0.332,126.081
Neon Rainbow,The Box Tops,0.514,0.929,0,-2.08,1,0.0863,0.0664,0.00224,0.0822,0.657,174.013
Lazy River,Bobby Darin,0.606,0.271,8,-16.543,0,0.0594,0.965,0.941,0.102,0.1,156.067
Jingo,Santana,0.572,0.955,1,-4.297,0,0.0505,0.0029,0,0.684,0.657,129.998
Give It Away,Red Hot Chili Peppers,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577
I'm Coming Home,Spinners,0.574,0.125,4,-18.517,1,0.0588,0.976,0.949,0.109,0.352,131.762
Hurts To Be In Love,Gino Vannelli,0.411,0.609,2,-6.867,0,0.0312,0.448,1.25e-05,0.123,0.347,143.494
Silly Little Girl,The Tams,0.745,0.734,11,-9.835,0,0.03,0.0801,0.00471,0.299,0.777,119.634
Do Somethin',Britney Spears,0.574,0.919,4,-4.632,1,0.041,0.00153,6.51e-06,0.0689,0.733,107.02
Wiederseh'n,Al Martino,0.149,0.137,8,-15.349,1,0.0326,0.846,1.96e-05,0.232,0.253,82.853
Jealousy,Major Harris,0.695,0.575,10,-6.334,0,0.116,0.198,0,0.0614,0.699,163.929
It's Just A House Without You,Brook Benton,0.6,0.325,8,-18.648,1,0.0518,0.71,4.4e-06,0.33,0.767,153.692
Don't Break The Heart That Loves You,Connie Francis,0.332,0.417,8,-6.531,1,0.0339,0.88,0,0.355,0.159,111.612
Dance With Mr. Domino,Fats Domino,0.447,0.631,0,-9.998,1,0.155,0.268,0,0.222,0.917,184.968
Ebb Tide,Lenny Welch,0.179,0.211,5,-11.936,1,0.0326,0.896,0.76,0.431,0.231,174.248
Get Up And Go,Go-Go's,0.337,0.924,11,-11.646,0,0.124,0.00953,0.882,0.962,0.0759,76.624
Midnight Flower,Four Tops,0.972,0.0996,0,-13.333,1,0.204,0.737,0.918,0.102,0.52,120.066
Me And Bobby McGee,Janis Joplin,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405
Behind These Hazel Eyes,Kelly Clarkson,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048
Love Is A Hurtin' Thing,Lou Rawls,0.409,0.433,3,-10.693,1,0.0309,0.468,1.53e-05,0.0863,0.74,182.452
I Can Survive,Triumph,0.446,0.929,2,-2.992,1,0.164,0.0326,1.43e-06,0.11,0.542,123.779
The South's Gonna Do It,Charlie Daniels Band,0.45,0.712,9,-9.69,1,0.0563,0.521,1.57e-06,0.189,0.848,164.376
I.O.U.,Lee Greenwood,0.572,0.785,4,-3.968,1,0.0413,0.375,0,0.234,0.398,125.037
One Thing Leads To Another,The Fixx,0.789,0.945,5,-5.219,0,0.0482,0.198,3.11e-06,0.0617,0.965,136.745
The Look,Roxette,0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011
And She's Mine,Spanky & Our Gang,0.501,0.753,4,-5.041,1,0.0303,0.575,0,0.11,0.861,184.07
Lights And Sounds,Yellowcard,0.344,0.972,11,-3.675,0,0.116,8.48e-05,0,0.293,0.387,167.819
Forever Tonight,Peter Cetera & Crystal Bernard,0.499,0.721,7,-6.785,1,0.0385,0.000881,0,0.101,0.293,113.868
Get It Poppin',Fat Joe Featuring Nelly,0.906,0.551,10,-7.439,0,0.356,0.0879,0,0.0661,0.554,100.773
My Place,Nelly Featuring Jaheim,0.6,0.641,1,-4.237,0,0.0423,0.0498,1.49e-06,0.0982,0.642,163.153
Baby Make Your Own Sweet Music,Jay & The Techniques,0.728,0.511,1,-15.232,1,0.0451,0.353,0,0.0836,0.961,130.946
Ring Of Fire,Johnny Cash,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111
Your Move,Yes,0.604,0.451,4,-9.617,1,0.038,0.286,3.77e-06,0.185,0.627,134.959
Careful,Paramore,0.417,0.945,8,-3.703,1,0.0805,0.00019,8.63e-05,0.2,0.607,164.997
I've Done Everything For You,Rick Springfield,0.594,0.898,4,-4.796,1,0.0452,0.0231,0,0.0627,0.808,161.512
This Night Won't Last Forever,Michael Johnson,0.621,0.439,2,-14.18,1,0.0289,0.544,0,0.0798,0.666,106.613
Here We Go,Trina Featuring Kelly Rowland,0.469,0.623,1,-4.432,1,0.0302,0.345,0,0.588,0.198,134.943
Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,0.792,0.694,8,-8.496,0,0.33,0.0619,2.32e-05,0.25,0.804,177.094
Party Girl,Tommy Roe,0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022
Fortress Around Your Heart,Sting,0.681,0.476,7,-15.447,1,0.0294,0.294,6.18e-06,0.079,0.668,120.535
Mandrill,Mandrill,0.536,0.734,0,-14.068,1,0.0584,0.0785,0.712,0.181,0.689,133.655
Live Is Life,Opus,0.633,0.952,9,-4.274,0,0.0338,0.0532,1.73e-06,0.989,0.765,95.423
Set Me Free,The Kinks,0.449,0.39,2,-8.263,1,0.0363,0.256,0,0.147,0.123,130.11
Trouble In My Home,Joe Simon,0.564,0.594,5,-7.334,0,0.0292,0.0852,2.04e-06,0.429,0.545,88.501
Start All Over,Miley Cyrus,0.494,0.935,0,-2.763,1,0.0644,0.000316,0,0.076,0.347,150.088
"Sorry, Blame It On Me",Akon,0.716,0.698,7,-6.456,1,0.239,0.102,0,0.0728,0.569,176.012
That's Not My Name,The Ting Tings,0.755,0.901,9,-3.152,1,0.0893,0.0451,0.0373,0.363,0.959,145.042
Can't Believe,Faith Evans Featuring Carl Thomas,0.649,0.515,10,-8.869,0,0.0486,0.0018,0,0.0773,0.0766,89.828
Roll Over Beethoven,Electric Light Orchestra,0.715,0.797,3,-10.154,1,0.193,0.837,0,0.209,0.841,92.739
Heat Of The Night,Bryan Adams,0.486,0.853,4,-11.836,0,0.0297,0.257,0.000824,0.355,0.726,173.85
Happy Heart,Petula Clark,0.265,0.356,7,-12.721,1,0.0321,0.694,0,0.656,0.509,110.761
Road Runner,Bo Diddley,0.548,0.912,7,-7.336,1,0.0582,0.177,0.499,0.144,0.779,127.639
Be Yourself,Audioslave,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602
Hello Old Friend,Eric Clapton,0.653,0.214,0,-12.578,1,0.0456,0.476,0.00344,0.332,0.366,107.979
Bette Davis Eyes,Kim Carnes,0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.624
Please Don't Stop Loving Me,Elvis Presley,0.798,0.477,2,-13.137,1,0.0317,0.516,1.52e-05,0.0992,0.928,111.6
Stay And Love Me All Summer,Brian Hyland,0.68,0.567,2,-9.576,1,0.0329,0.337,4.29e-06,0.08,0.685,127.825
Crazy,K-Ci ,0.729,0.73,11,-5.14,0,0.261,0.00165,4.33e-05,0.118,0.41,156.953
Maneater,Daryl Hall & John Oates,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722
Have You Ever Been Lonely (Have You Ever Been Blue),The Caravelles,0.176,0.271,7,-15.833,1,0.0419,0.845,9.3e-06,0.301,0.225,195.717
Lady Love,Lou Rawls,0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.024
Just One More Time,The Headpins,0.514,0.831,2,-7.876,1,0.0396,0.0168,0.00029,0.327,0.705,128.034
U Make Me Wanna,Jadakiss Featuring Mariah Carey,0.686,0.818,5,-5.111,0,0.241,0.0374,0,0.329,0.633,83.182
Change,Lisa Stansfield,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934
My Heart Belongs To Me,Barbra Streisand,0.274,0.209,0,-15.723,0,0.0328,0.743,6.84e-06,0.183,0.297,139.316
Summertime,Billy Stewart,0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937
Shazam!,Duane Eddy,0.514,0.892,7,-3.36,1,0.0377,1.84e-05,0.927,0.241,0.865,136.028
